# Generated with codectest (time: 467min)

Tools detected:
+ mencoder dev-SVN-r26753-4.1.2
+ mkvmerge v2.2.0
+ mp4creator 1.5.0.1
+ mplayer dev-SVN-r26753-4.1.2
+ ogmmerge v1.5
+ undvd 0.6.1

+-------------+-------------+-------------+-------------+
| container   | vcodec      | acodec      | status      |
+-------------+-------------+-------------+-------------+
| asf         | asv1        | aac         | ok          |
| asf         | asv1        | ac3         | ok          |
| asf         | asv1        | flac        | ok          |
| asf         | asv1        | g726        | enc_failed  |
| asf         | asv1        | libamr_nb   | enc_failed  |
| asf         | asv1        | libamr_wb   | enc_failed  |
| asf         | asv1        | mp2         | ok          |
| asf         | asv1        | mp3         | ok          |
| asf         | asv1        | roq_dpcm    | enc_failed  |
| asf         | asv1        | sonic       | ok          |
| asf         | asv1        | sonicls     | ok          |
| asf         | asv1        | vorbis      | ok          |
| asf         | asv1        | wmav1       | ok          |
| asf         | asv1        | wmav2       | ok          |
| asf         | asv2        | aac         | ok          |
| asf         | asv2        | ac3         | ok          |
| asf         | asv2        | flac        | ok          |
| asf         | asv2        | g726        | enc_failed  |
| asf         | asv2        | libamr_nb   | enc_failed  |
| asf         | asv2        | libamr_wb   | enc_failed  |
| asf         | asv2        | mp2         | ok          |
| asf         | asv2        | mp3         | ok          |
| asf         | asv2        | roq_dpcm    | enc_failed  |
| asf         | asv2        | sonic       | ok          |
| asf         | asv2        | sonicls     | ok          |
| asf         | asv2        | vorbis      | ok          |
| asf         | asv2        | wmav1       | ok          |
| asf         | asv2        | wmav2       | ok          |
| asf         | dvvideo     | aac         | ok          |
| asf         | dvvideo     | ac3         | ok          |
| asf         | dvvideo     | flac        | ok          |
| asf         | dvvideo     | g726        | enc_failed  |
| asf         | dvvideo     | libamr_nb   | enc_failed  |
| asf         | dvvideo     | libamr_wb   | enc_failed  |
| asf         | dvvideo     | mp2         | ok          |
| asf         | dvvideo     | mp3         | ok          |
| asf         | dvvideo     | roq_dpcm    | enc_failed  |
| asf         | dvvideo     | sonic       | ok          |
| asf         | dvvideo     | sonicls     | ok          |
| asf         | dvvideo     | vorbis      | ok          |
| asf         | dvvideo     | wmav1       | ok          |
| asf         | dvvideo     | wmav2       | ok          |
| asf         | ffv1        | aac         | ok          |
| asf         | ffv1        | ac3         | ok          |
| asf         | ffv1        | flac        | ok          |
| asf         | ffv1        | g726        | enc_failed  |
| asf         | ffv1        | libamr_nb   | enc_failed  |
| asf         | ffv1        | libamr_wb   | enc_failed  |
| asf         | ffv1        | mp2         | ok          |
| asf         | ffv1        | mp3         | ok          |
| asf         | ffv1        | roq_dpcm    | enc_failed  |
| asf         | ffv1        | sonic       | ok          |
| asf         | ffv1        | sonicls     | ok          |
| asf         | ffv1        | vorbis      | ok          |
| asf         | ffv1        | wmav1       | ok          |
| asf         | ffv1        | wmav2       | ok          |
| asf         | flv         | aac         | ok          |
| asf         | flv         | ac3         | ok          |
| asf         | flv         | flac        | ok          |
| asf         | flv         | g726        | enc_failed  |
| asf         | flv         | libamr_nb   | enc_failed  |
| asf         | flv         | libamr_wb   | enc_failed  |
| asf         | flv         | mp2         | ok          |
| asf         | flv         | mp3         | ok          |
| asf         | flv         | roq_dpcm    | enc_failed  |
| asf         | flv         | sonic       | ok          |
| asf         | flv         | sonicls     | ok          |
| asf         | flv         | vorbis      | ok          |
| asf         | flv         | wmav1       | ok          |
| asf         | flv         | wmav2       | ok          |
| asf         | h261        | aac         | enc_failed  |
| asf         | h261        | ac3         | enc_failed  |
| asf         | h261        | flac        | enc_failed  |
| asf         | h261        | g726        | enc_failed  |
| asf         | h261        | libamr_nb   | enc_failed  |
| asf         | h261        | libamr_wb   | enc_failed  |
| asf         | h261        | mp2         | enc_failed  |
| asf         | h261        | mp3         | enc_failed  |
| asf         | h261        | roq_dpcm    | enc_failed  |
| asf         | h261        | sonic       | enc_failed  |
| asf         | h261        | sonicls     | enc_failed  |
| asf         | h261        | vorbis      | enc_failed  |
| asf         | h261        | wmav1       | enc_failed  |
| asf         | h261        | wmav2       | enc_failed  |
| asf         | h263        | aac         | enc_failed  |
| asf         | h263        | ac3         | enc_failed  |
| asf         | h263        | flac        | enc_failed  |
| asf         | h263        | g726        | enc_failed  |
| asf         | h263        | libamr_nb   | enc_failed  |
| asf         | h263        | libamr_wb   | enc_failed  |
| asf         | h263        | mp2         | enc_failed  |
| asf         | h263        | mp3         | enc_failed  |
| asf         | h263        | roq_dpcm    | enc_failed  |
| asf         | h263        | sonic       | enc_failed  |
| asf         | h263        | sonicls     | enc_failed  |
| asf         | h263        | vorbis      | enc_failed  |
| asf         | h263        | wmav1       | enc_failed  |
| asf         | h263        | wmav2       | enc_failed  |
| asf         | h263p       | aac         | ok          |
| asf         | h263p       | ac3         | ok          |
| asf         | h263p       | flac        | ok          |
| asf         | h263p       | g726        | enc_failed  |
| asf         | h263p       | libamr_nb   | enc_failed  |
| asf         | h263p       | libamr_wb   | enc_failed  |
| asf         | h263p       | mp2         | ok          |
| asf         | h263p       | mp3         | ok          |
| asf         | h263p       | roq_dpcm    | enc_failed  |
| asf         | h263p       | sonic       | ok          |
| asf         | h263p       | sonicls     | ok          |
| asf         | h263p       | vorbis      | ok          |
| asf         | h263p       | wmav1       | ok          |
| asf         | h263p       | wmav2       | ok          |
| asf         | h264        | aac         | ok          |
| asf         | h264        | ac3         | ok          |
| asf         | h264        | flac        | ok          |
| asf         | h264        | g726        | enc_failed  |
| asf         | h264        | libamr_nb   | enc_failed  |
| asf         | h264        | libamr_wb   | enc_failed  |
| asf         | h264        | mp2         | ok          |
| asf         | h264        | mp3         | ok          |
| asf         | h264        | roq_dpcm    | enc_failed  |
| asf         | h264        | sonic       | ok          |
| asf         | h264        | sonicls     | ok          |
| asf         | h264        | vorbis      | ok          |
| asf         | h264        | wmav1       | ok          |
| asf         | h264        | wmav2       | ok          |
| asf         | huffyuv     | aac         | enc_failed  |
| asf         | huffyuv     | ac3         | enc_failed  |
| asf         | huffyuv     | flac        | enc_failed  |
| asf         | huffyuv     | g726        | enc_failed  |
| asf         | huffyuv     | libamr_nb   | enc_failed  |
| asf         | huffyuv     | libamr_wb   | enc_failed  |
| asf         | huffyuv     | mp2         | enc_failed  |
| asf         | huffyuv     | mp3         | enc_failed  |
| asf         | huffyuv     | roq_dpcm    | enc_failed  |
| asf         | huffyuv     | sonic       | enc_failed  |
| asf         | huffyuv     | sonicls     | enc_failed  |
| asf         | huffyuv     | vorbis      | enc_failed  |
| asf         | huffyuv     | wmav1       | enc_failed  |
| asf         | huffyuv     | wmav2       | enc_failed  |
| asf         | libtheora   | aac         | enc_failed  |
| asf         | libtheora   | ac3         | enc_failed  |
| asf         | libtheora   | flac        | enc_failed  |
| asf         | libtheora   | g726        | enc_failed  |
| asf         | libtheora   | libamr_nb   | enc_failed  |
| asf         | libtheora   | libamr_wb   | enc_failed  |
| asf         | libtheora   | mp2         | enc_failed  |
| asf         | libtheora   | mp3         | enc_failed  |
| asf         | libtheora   | roq_dpcm    | enc_failed  |
| asf         | libtheora   | sonic       | enc_failed  |
| asf         | libtheora   | sonicls     | enc_failed  |
| asf         | libtheora   | vorbis      | enc_failed  |
| asf         | libtheora   | wmav1       | enc_failed  |
| asf         | libtheora   | wmav2       | enc_failed  |
| asf         | ljpeg       | aac         | ok          |
| asf         | ljpeg       | ac3         | ok          |
| asf         | ljpeg       | flac        | ok          |
| asf         | ljpeg       | g726        | enc_failed  |
| asf         | ljpeg       | libamr_nb   | enc_failed  |
| asf         | ljpeg       | libamr_wb   | enc_failed  |
| asf         | ljpeg       | mp2         | ok          |
| asf         | ljpeg       | mp3         | ok          |
| asf         | ljpeg       | roq_dpcm    | enc_failed  |
| asf         | ljpeg       | sonic       | ok          |
| asf         | ljpeg       | sonicls     | ok          |
| asf         | ljpeg       | vorbis      | ok          |
| asf         | ljpeg       | wmav1       | ok          |
| asf         | ljpeg       | wmav2       | ok          |
| asf         | mjpeg       | aac         | ok          |
| asf         | mjpeg       | ac3         | ok          |
| asf         | mjpeg       | flac        | ok          |
| asf         | mjpeg       | g726        | enc_failed  |
| asf         | mjpeg       | libamr_nb   | enc_failed  |
| asf         | mjpeg       | libamr_wb   | enc_failed  |
| asf         | mjpeg       | mp2         | ok          |
| asf         | mjpeg       | mp3         | ok          |
| asf         | mjpeg       | roq_dpcm    | enc_failed  |
| asf         | mjpeg       | sonic       | ok          |
| asf         | mjpeg       | sonicls     | ok          |
| asf         | mjpeg       | vorbis      | ok          |
| asf         | mjpeg       | wmav1       | ok          |
| asf         | mjpeg       | wmav2       | ok          |
| asf         | mpeg1video  | aac         | ok          |
| asf         | mpeg1video  | ac3         | ok          |
| asf         | mpeg1video  | flac        | ok          |
| asf         | mpeg1video  | g726        | enc_failed  |
| asf         | mpeg1video  | libamr_nb   | enc_failed  |
| asf         | mpeg1video  | libamr_wb   | enc_failed  |
| asf         | mpeg1video  | mp2         | ok          |
| asf         | mpeg1video  | mp3         | ok          |
| asf         | mpeg1video  | roq_dpcm    | enc_failed  |
| asf         | mpeg1video  | sonic       | ok          |
| asf         | mpeg1video  | sonicls     | ok          |
| asf         | mpeg1video  | vorbis      | ok          |
| asf         | mpeg1video  | wmav1       | ok          |
| asf         | mpeg1video  | wmav2       | ok          |
| asf         | mpeg2video  | aac         | ok          |
| asf         | mpeg2video  | ac3         | ok          |
| asf         | mpeg2video  | flac        | ok          |
| asf         | mpeg2video  | g726        | enc_failed  |
| asf         | mpeg2video  | libamr_nb   | enc_failed  |
| asf         | mpeg2video  | libamr_wb   | enc_failed  |
| asf         | mpeg2video  | mp2         | ok          |
| asf         | mpeg2video  | mp3         | ok          |
| asf         | mpeg2video  | roq_dpcm    | enc_failed  |
| asf         | mpeg2video  | sonic       | ok          |
| asf         | mpeg2video  | sonicls     | ok          |
| asf         | mpeg2video  | vorbis      | ok          |
| asf         | mpeg2video  | wmav1       | ok          |
| asf         | mpeg2video  | wmav2       | ok          |
| asf         | mpeg4       | aac         | ok          |
| asf         | mpeg4       | ac3         | ok          |
| asf         | mpeg4       | flac        | ok          |
| asf         | mpeg4       | g726        | enc_failed  |
| asf         | mpeg4       | libamr_nb   | enc_failed  |
| asf         | mpeg4       | libamr_wb   | enc_failed  |
| asf         | mpeg4       | mp2         | ok          |
| asf         | mpeg4       | mp3         | ok          |
| asf         | mpeg4       | roq_dpcm    | enc_failed  |
| asf         | mpeg4       | sonic       | ok          |
| asf         | mpeg4       | sonicls     | ok          |
| asf         | mpeg4       | vorbis      | ok          |
| asf         | mpeg4       | wmav1       | ok          |
| asf         | mpeg4       | wmav2       | ok          |
| asf         | msmpeg4     | aac         | ok          |
| asf         | msmpeg4     | ac3         | ok          |
| asf         | msmpeg4     | flac        | ok          |
| asf         | msmpeg4     | g726        | enc_failed  |
| asf         | msmpeg4     | libamr_nb   | enc_failed  |
| asf         | msmpeg4     | libamr_wb   | enc_failed  |
| asf         | msmpeg4     | mp2         | ok          |
